id,seller_link,seller_name
28,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2QRKT06DS8T4C&asin=B0CBP1HNVS&ref_=dp_merchant_link&isAmazonFulfilled=1,TIN CONSEIL LTD
29,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2RKDP48E4HB6&asin=B07GNCYLMT&ref_=dp_merchant_link&isAmazonFulfilled=1,sunfany uk
30,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2RCXAQDK3T42M&asin=B0B29HZNJ4&ref_=dp_merchant_link,Digiflex
31,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3SU91T85IAL1E&asin=B07Z6FNSC2&ref_=dp_merchant_link&isAmazonFulfilled=1,yafaa
32,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A27LVHP9M5E4A2&asin=B075ZQ1ZVT&ref_=dp_merchant_link,labelbike
33,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A23866CWMZ8WB6&asin=B08HVMPJQK&ref_=dp_merchant_link&isAmazonFulfilled=1,Rhinowalk Official Store
34,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AMAQ3BSRYWWFZ&asin=B0B5QDHYN9&ref_=dp_merchant_link&isAmazonFulfilled=1,uklina_shop
35,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AW2G4RF3QSO4M&asin=B07WVD71B4&ref_=dp_merchant_link&isAmazonFulfilled=1,Youluu-cd
36,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A39SUXSLXES8WR&asin=B07413Q2W3&ref_=dp_merchant_link&isAmazonFulfilled=1,MoTianFeiDeDian
37,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3JOQAN9U7YGMK&asin=B07JN9KQG8&ref_=dp_merchant_link&isAmazonFulfilled=1,GrandPitstop
38,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AI4NS268R7KLQ&asin=B07Z7W63CW&ref_=dp_merchant_link,Hanper
39,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A33G7CY43FZYTX&asin=B07RM34KDP&ref_=dp_merchant_link&isAmazonFulfilled=1,Dreameater
40,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2RKDP48E4HB6&asin=B07JM9MH41&ref_=dp_merchant_link&isAmazonFulfilled=1,sunfany uk
41,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=ANNBQUFDAYDWD&asin=B07HGSR5RD&ref_=dp_merchant_link&isAmazonFulfilled=1,ueznirn
42,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A29NATGZGLG1CR&asin=B08D6S64HX&ref_=dp_merchant_link&isAmazonFulfilled=1,Freesol123
43,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1VRTBZ5TUMHR9&asin=B07K258X6Y&ref_=dp_merchant_link&isAmazonFulfilled=1,Jinyao
44,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=APU3E2SM6JONI&asin=B09NX89DMT&ref_=dp_merchant_link,NICECNC Direct
45,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3UW62B24R9UK&asin=B073VMS9RS&ref_=dp_merchant_link&isAmazonFulfilled=1,EZ-GO Strap
46,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3SU91T85IAL1E&asin=B07XZ8WX4V&ref_=dp_merchant_link&isAmazonFulfilled=1,yafaa
47,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3V0X3CMEH7FC0&asin=B08PK5VX2S&ref_=dp_merchant_link&isAmazonFulfilled=1,PPFUNNY
48,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=ASOWMFOSCIIJ5&asin=B08GKL5D57&ref_=dp_merchant_link&isAmazonFulfilled=1,SUNWAN
49,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AO4SOAIT9GEIH&asin=B09WCSXNY6&ref_=dp_merchant_link&isAmazonFulfilled=1,Rehekeji
